valuedatetime,Month,datavalue,variable,units,sitecode,sitename,site-variable,year
5/18/2005 8:45,,4.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
5/18/2005 9:45,,3.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
5/18/2005 13:20,,12.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
5/18/2005 14:20,,12.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
6/20/2005 8:45,,6.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
6/20/2005 9:45,,3.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
6/20/2005 15:45,,6.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
6/20/2005 16:45,,7,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
7/17/2005 10:07,,40.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
7/17/2005 11:07,,40,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
7/17/2005 13:54,,50.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
7/17/2005 14:54,,51,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
8/30/2005 9:45,,24.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
