valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
9/27/2002 11:30,,,9.69,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 11:31,,,12.34,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 14:00,,,10.07,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 14:01,,,11.13,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 16:30,,,7.89,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 16:31,,,8.31,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 19:00,,,8.89,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 19:01,,,10.79,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 21:30,,,4.11,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/27/2002 21:31,,,4.58,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 2:30,,,7.01,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 2:31,,,6.11,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 5:00,,,7.07,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 5:01,,,4.61,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 7:30,,,9.21,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 7:31,,,12.12,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 21:00,,,5.33,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
9/28/2002 21:01,,,4.81,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
10/24/2002 9:00,,,6.81,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
10/24/2002 9:01,,,8.15,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
10/24/2002 11:30,,,9.39,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
10/24/2002 11:31,,,10.13,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
10/24/2002 14:00,,,5.75,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
