"fct_inorder.MY.","phosphorus","silica","tss","chla","nitrogen","salinity","temperature","N.P","species.sum","abundance.sum","species.avg","abundance.avg"
"Feb - 2018",NA,NA,NA,NA,NA,29.4039315448659,2.90948196114709,NA,"Small_PN.Sum.",150,"Alex.avg.",0
"Mar - 2018",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",52.5,"Alex.avg.",0
"Apr - 2018",NA,NA,17.1409533333333,1.36861,0.023,19.3,6,NA,"Small_PN.Sum.",7.5,"Alex.avg.",3
"May - 2018",0.01026,NA,20.71143,6.07806964420893,0.0605,31.8,15,5.89668615984405,"Small_PN.Sum.",1762.5,"Alex.avg.",7.5
"Jun - 2018",0.01149,NA,18.21143,12.6823333333333,0.0115,32.5714285714286,14.95,1.00087032201915,"Small_PN.Sum.",2010,"Alex.avg.",3
"Jul - 2018",0.0199566666666667,NA,18.5704766666667,19.030336,0.13007,33.5833333333333,18.45,6.51762151327876,"Small_PN.Sum.",1275,"Alex.avg.",6
"Aug - 2018",0.0337911111111111,NA,20.5939688888889,47.724225,0.07154,32.3714285714286,19.3857142857143,2.11712481915034,"Small_PN.Sum.",172.5,"Alex.avg.",0
"Sep - 2018",0.0205533333333333,NA,21.4295233333333,4.76152666666667,0.1133325,26.5136420395421,19.9678903539209,5.51406908855012,"Small_PN.Sum.",60,"Alex.avg.",0
"Oct - 2018",0.0201733333333333,NA,23.21143,2.966555,0.114725,23.9744209466264,13.1414372061786,5.68696298744218,"Small_PN.Sum.",390,"Alex.avg.",0
"Nov - 2018",0.01864,NA,12.8590466666667,1.078085,0.116415,14.4704012841091,6.97104925053533,6.24543991416309,"Small_PN.Sum.",427.5,"Alex.avg.",0
"Dec - 2018",0.0199777777777778,NA,12.5,0.83406,0.15221,12.17,3.4,7.61896551724137,"Small_PN.Sum.",15,"Alex.avg.",0
"Jan - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Feb - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Mar - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Apr - 2019",0.014,NA,11.4,2.98,0.0723333333333333,18.0888717156105,11.9,5.16666666666666,"Small_PN.Sum.",30,"Alex.avg.",0
